category,model,threshold_good,threshold_defect,auroc,n_good,n_defective
bottle,dinomaly,0.4187,1.0,1.0,20,63
bottle,patchcore,0.0,1.0,1.0,20,63
bottle,ensemble_mean,0.0124,1.0,1.0,20,63
bottle,ensemble_max,0.4187,1.0,1.0,20,63
cable,dinomaly,0.0,0.0542,0.9762,58,92
cable,patchcore,0.049,0.3731,0.9854,58,92
cable,ensemble_mean,0.0,0.2153,0.983,58,92
cable,ensemble_max,0.049,0.3773,0.9909,58,92
capsule,dinomaly,0.7435,1.0,0.9477,23,109
capsule,patchcore,0.0,0.05,0.9124,23,109
capsule,ensemble_mean,0.3582,0.8601,0.9992,23,109
capsule,ensemble_max,0.7435,1.0,0.9565,23,109
carpet,dinomaly,0.2536,1.0,0.9807,28,89
carpet,patchcore,0.4879,1.0,0.9852,28,89
carpet,ensemble_mean,0.2545,1.0,1.0,28,89
carpet,ensemble_max,0.713,1.0,0.9821,28,89
grid,dinomaly,0.0,1.0,1.0,21,57
grid,patchcore,0.1645,0.2671,0.9708,21,57
grid,ensemble_mean,0.0,0.9486,1.0,21,57
grid,ensemble_max,0.1645,1.0,0.9992,21,57
hazelnut,dinomaly,0.3152,1.0,0.9875,40,70
hazelnut,patchcore,0.0,0.6396,1.0,40,70
hazelnut,ensemble_mean,0.0055,1.0,1.0,40,70
hazelnut,ensemble_max,0.3152,1.0,0.9875,40,70
leather,dinomaly,0.0,1.0,1.0,32,92
leather,patchcore,0.6044,1.0,0.9844,32,92
leather,ensemble_mean,0.2564,1.0,1.0,32,92
leather,ensemble_max,0.6044,1.0,0.9844,32,92
metal_nut,dinomaly,0.38,1.0,1.0,22,93
metal_nut,patchcore,0.0,0.5789,0.9822,22,93
metal_nut,ensemble_mean,0.0,1.0,1.0,22,93
metal_nut,ensemble_max,0.38,1.0,1.0,22,93
pill,dinomaly,0.1677,0.8892,0.9744,26,141
pill,patchcore,0.0,0.05,0.8955,26,141
pill,ensemble_mean,0.0311,0.3742,0.982,26,141
pill,ensemble_max,0.1864,0.8892,0.9733,26,141
screw,dinomaly,0.0878,0.2055,0.9425,41,119
screw,patchcore,0.0,0.05,0.7816,41,119
screw,ensemble_mean,0.0,0.0275,0.9371,41,119
screw,ensemble_max,0.0878,0.2055,0.9456,41,119
tile,dinomaly,0.0343,1.0,1.0,33,84
tile,patchcore,0.0,0.542,0.994,33,84
tile,ensemble_mean,0.0,1.0,1.0,33,84
tile,ensemble_max,0.0343,1.0,1.0,33,84
toothbrush,dinomaly,0.9481,0.9831,0.9083,12,30
toothbrush,patchcore,0.1638,0.2638,0.9306,12,30
toothbrush,ensemble_mean,0.6076,0.7398,0.9806,12,30
toothbrush,ensemble_max,0.9481,0.9831,0.9083,12,30
transistor,dinomaly,0.1917,0.8419,0.9879,60,40
transistor,patchcore,0.0,0.4451,0.9862,60,40
transistor,ensemble_mean,0.0,0.7007,1.0,60,40
transistor,ensemble_max,0.1917,0.8419,0.9879,60,40
wood,dinomaly,0.95,1.0,0.8947,19,60
wood,patchcore,0.4084,0.9783,0.9829,19,60
wood,ensemble_mean,0.6669,1.0,0.9732,19,60
wood,ensemble_max,0.95,1.0,0.8947,19,60
zipper,dinomaly,0.05,0.9939,0.9989,32,119
zipper,patchcore,0.131,0.9008,0.9603,32,119
zipper,ensemble_mean,0.085,0.9815,0.9926,32,119
zipper,ensemble_max,0.1399,1.0,0.9669,32,119
